index,results,average time (3)
0,180,4235664
1,34,3079414
2,459,3595669
3,22,2942482
4,60,3081639
5,23,3063996
6,34,3073771
7,100,2975145
8,138,3586053
9,140,3156502
10,52,3263155
11,39,3045081
12,325,3146727
13,188,3503083
14,14,3069877
15,54,3120183
16,16,2932548
17,67,2942164
18,18,2843459
19,17,2794583
20,49,2831935
21,20,2853472
22,12,2782662
23,110,2770662
24,314,2726634
25,42,2775271
26,134,3081242
27,17,2646128
28,158,2715030
29,100,2803643
30,12,2713441
31,26,2593278
32,58,2611557
33,49,2742210
34,18,2718209
35,127,2694924
36,43,2656856
37,104,2747614
38,208,2892414
39,19,2643982
40,886,2996365
41,363,3025372
42,16,3611564
43,26,4180589
44,20,2614259
45,229,2875089
46,174,2821365
47,7,2770185
48,21,2710500
