index,results,average time (3)
0,180,4301865
1,34,3319898
2,459,3915070
3,22,3277619
4,60,3363767
5,23,3499905
6,34,4704951
7,100,3291288
8,138,3496646
9,140,3089188
10,52,3271182
11,39,2706129
12,325,4669030
13,188,3667115
14,14,3372350
15,54,2926349
16,16,3209511
17,67,2883433
18,18,2876440
19,17,3349621
20,49,2990007
21,20,2735932
22,12,2725998
23,110,2918640
24,314,3087599
25,42,2918322
26,134,3009716
27,17,2797126
28,158,2803404
29,100,3034511
30,12,3399848
31,26,3021399
32,58,4870970
33,49,3344376
34,18,2715189
35,127,3134011
36,43,2763747
37,104,3242333
38,208,3170251
39,19,2691904
40,886,4241942
41,363,3055095
42,16,3317912
43,26,3398100
44,20,3040631
45,229,2910454
46,174,3514925
47,7,2874612
48,21,3470420
