index,results,average time (3)
0,166,4348833
1,48,2372820
2,31,2813656
3,149,3006775
4,53,2317984
5,170,3078062
6,199,2827882
7,39,2680857
8,51,3882248
9,455,3051439
10,99,2759058
11,244,3265301
12,27,2774953
13,74,2691983
14,43,3051598
15,233,2826610
16,74,2692540
17,174,2963622
18,334,3230253
19,28,2894401
20,44,3204424
21,22,3113110
22,56,2730448
23,93,2866585
24,53,2953290
25,35,2725998
26,161,3166595
27,52,2996364
28,144,2929051
29,27,3253856
30,25,2966165
31,194,2967913
32,96,3257036
33,104,2947489
34,297,2693573
35,286,3230333
36,30,2905527
37,124,2642710
38,448,3069479
39,48,2899090
40,88,2687692
41,108,2665280
42,444,3023385
43,87,2768595
