index,results,average time (3)
0,1,4539648
1,1,2630710
2,2,3158727
3,1,3072658
4,1,65958658
5,1,2878109
6,1,2978245
7,1,2568483
8,1,2346515
9,1,4359165
10,2,2694765
11,40,7026910
12,1,2404053
13,1,2550681
14,1,4314263
15,1,2448081
16,1,2436240
17,8,2733071
18,1,2585331
19,1,2548535
20,1,3308216
21,1,2631664
22,1,2461274
23,1,2283731
24,1,2654711
25,3,2531369
26,2,3086407
27,1,5022843
28,1,18744945
29,4,1228397289
30,1,3072658
31,1,3281036
32,1,2567052
33,1,11331716
34,1,2700646
35,4,29959757
36,9,12116590
37,1,3120978
38,1,2657731
39,1,2611001
40,2,12576659
41,1,3115494
42,1,2447525
43,2,2992073
44,8,2833524
45,1,2730369
