index,results,average time (3)
0,1,4792689
1,1,3262599
2,2,3204584
3,1,3274042
4,1,95279852
5,1,3308295
6,1,3037611
7,1,3163098
8,1,2958058
9,1,4752158
10,2,3183682
11,40,9739319
12,1,3192424
13,1,3250598
14,1,5381265
15,1,3277381
16,1,3075519
17,8,2955833
18,1,2739747
19,1,3001928
20,1,4122654
21,1,2942164
22,1,2727905
23,1,2890268
24,1,2856651
25,3,2833127
26,2,3835200
27,1,6093024
28,1,24404207
29,4,1986010153
30,1,3498553
31,1,3397782
32,1,3443320
33,1,14240502
34,1,3375847
35,4,36826928
36,9,16052404
37,1,3449280
38,1,3234227
39,1,3443320
40,2,15738963
41,1,3387212
42,1,3301302
43,2,3477890
44,8,3420034
45,1,3490685
