index,results,average time (3)
0,1,7903257
1,1,6453752
2,2,4618167
3,1,4276195
4,1,187629540
5,1,5440870
6,1,4793087
7,1,2741336
8,1,2677758
9,1,4139582
10,2,3112156
11,40,19353230
12,1,2797762
13,1,6190538
14,1,4499276
15,1,2732276
16,1,6419817
17,8,9794076
18,1,2690235
19,1,7314840
20,1,3669420
21,1,2722183
22,1,3034193
23,1,3490606
24,1,5188385
25,3,2755244
26,2,14519929
27,1,4758436
28,1,56800126
29,4,1358309665
30,1,2952337
31,1,5735158
32,1,3237167
33,1,12612422
34,1,3036896
35,4,66461483
36,9,18893638
37,1,3222624
38,1,2912759
39,1,5088646
40,2,17340977
41,1,2992629
42,1,2255598
43,2,5941231
44,8,6013949
45,1,2547343
