index,results,average time (3)
0,1,7942596
1,1,14939228
2,2,14324505
3,1,14581918
4,1,18534739
5,1,17338832
6,1,13338009
7,1,6688355
8,1,5963960
9,1,16729275
10,2,15012184
11,40,12000321
12,1,9156703
13,1,9013255
14,1,14086166
15,1,5063930
16,1,14631032
17,8,17004569
18,1,2872705
19,1,11129776
20,1,20735183
21,1,12086947
22,1,2741892
23,1,11521736
24,1,18199920
25,3,11474767
26,2,9651740
27,1,14711856
28,1,11254707
29,4,6630261
30,1,11021693
31,1,12492179
32,1,10574658
33,1,5357106
34,1,24190346
35,4,14911253
36,9,12425183
37,1,14015118
38,1,2845763
39,1,13311544
40,2,16507068
41,1,17538467
42,1,3055174
43,2,16927480
44,8,12685060
45,1,17083962
