index,results,average time (3)
0,260778,7035898446
1,5680,106872558
2,1160,70873577
3,192,127978324
4,24855,967977364
5,1,89819589
6,37389,1066990693
7,2111,183847188
8,1767,109473625
9,461,87988932
10,4,35636345
11,437,154055197
12,1612,81408897
13,2293,205577055
14,6011,306101878
15,1111,323982635
16,655,40220339
17,16496,1144989410
18,18309,2286082187
19,1629,264790932
20,858,109973986
21,367,84739605
22,25,1037063518
23,25,319963852
24,1,14713525
25,52,48247893
26,252,47442753
27,440,35593827
28,1220,95115899
29,38,40623426
30,413,86013872
31,2137,134318351
32,2,55651426
33,12902,767731030
34,1,80783525
35,529,323276440
36,338,166891892
37,24897,598879893
38,4,648195981
39,39757,414937813
40,42,11035759
41,4,112282911
42,498,78354437
43,16,41937827
44,87,18412510
45,24500,1932146151
46,4278,619546015
47,320,97631851
48,21,15550613
49,1236,367182016
