index,results,average time (3)
0,4,24083931
1,1866,101273695
2,321,17526546
3,1144,27554432
4,214,12130498
5,160,46502113
6,3221,59782822
7,57,200255711
8,5280,268169243
9,7069,138120810
10,4087,256497859
11,10000,2334065675
12,3925,90230385
13,10000,523157040
14,16,33376057
15,126,59098084
16,10000,3031119426
17,9,33766825
18,833,118021487
19,930,49937486
20,132,37643034
21,10000,4236073890
22,10000,864083846
23,193,65849860
24,1092,706510781
25,8424,183010339
26,10000,108355442
27,3010,329617420
28,47,21718899
29,7076,107082604
30,741,70499896
31,7262,273395776
32,10000,2397400696
33,6,55045524
34,10000,3404344876
35,49,74745654
36,55,1419897953
37,20,8048375
38,1672,39018471
39,10000,1103940327
40,10000,2765362818
41,8478,203603585
42,5849,324979543
43,4,3666427770
44,352,886425018
45,1381,349464813
46,10000,1302836020
47,10000,730750957
48,762,124092339
49,391,297204335
