index,results,average time (3)
0,4,38185357
1,1866,291075944
2,321,22412697
3,1144,125034411
4,214,44272025
5,160,69913704
6,3221,230441728
7,57,269671837
8,5280,1360183556
9,7069,379550138
10,4087,633422374
11,10000,25970660606
12,3925,496912320
13,10000,905297517
14,16,48109689
15,126,94117085
16,10000,11419389168
17,9,61335881
18,833,693931579
19,930,1154515742
20,132,113422154
21,10000,12173902113
22,10000,8488438685
23,193,198304652
24,1092,1115377028
25,8424,2487454096
26,10000,1574168523
27,3010,823224464
28,47,57511329
29,7076,1824572006
30,741,306640465
31,7262,3334569533
32,10000,38426540374
33,6,84549665
34,10000,16909592707
35,49,110089063
36,55,2017046292
37,20,43549219
38,1672,296329020
39,10000,7682129223
40,10000,7747908830
41,8478,8152715523
42,5849,766716797
43,4,3599217891
44,352,1196371555
45,1381,877182642
46,10000,7523702223
47,10000,8060299078
48,762,443156400
49,391,590748786
