index,results,average time (3)
0,10000,837073405
1,2,25659878
2,10000,213601350
3,968,13629356
4,787,51959196
5,1393,21097500
6,188,40178934
7,28,10928074
8,2413,45649210
9,142,16568501
10,716,21319071
11,1477,25223970
12,129,25217453
13,1281,15455325
14,10000,289911508
15,6250,69740374
16,10000,108295440
17,10000,106462796
18,448,102594216
19,1697,17951726
20,141,7855414
21,39,9558121
22,10,6986776
23,2705,51140228
24,10000,30696719646
25,2896,43263673
26,10000,200215577
27,7364,53899605
28,1606,42846679
29,3600,40333350
30,10000,92002471
31,75,16771952
32,92,7914940
33,10000,271537780
34,10000,277167478
35,810,23450135
36,85,26571988
37,7068,70675293
38,10000,157085736
39,7796,108919461
40,77,13118425
41,1106,43737967
42,105,32694021
43,1235,25161822
44,7123,62841812
45,8746,214761972
46,683,9873389
47,1516,34149646
48,81,13244946
49,0,4012822
